,0
0,great !
1,good game
2,;D
3,Very relaxing game...
4,bad game to ez
5,"This game and the developers are the most BS ive ever seen.

You play solo and get a group of 3 or 4 Premades. They troll you, they take turns attacking / killing you and if you fight back or leave you get a ban. So you are forced to sit it out, waste your time, just to -at the end of game- get kicked. And then you get a ban for being kicked. 

That way, one or another, you keep stacking your cooldown times. Then you come back after it ran out, just to not load into a game. Which isnt your fault. You have played countless other games, GTA, LOL, Battlefield, Phasmophobia, Rocket League, you name it. All working perfectly fine. But CSGO? No it doesnt. You get stuck in a loading Screen unable to join the match you accepted. You restart the game, if you are lucky without the standard ""this game is already running""-fault message. You try to load into the game again. Maybe again. No matter how many tries, once you load into this crap, you see that you are stuck in warm-up alone with a bot. Everyone else left and so do you. Just to see? You get a cooldown for not connecting to the match. 

And in the few rare ocasions that you actually make it into a game without anything mentioned above you either have cheaters, russians refusing to speak english, a 8 year old kid screaming his lungs out or an e-girl (that the rest of your team jumps on trying to hit on her or keeps ""having fun"" taking part in sexual harrassment. 

And if all that is not happening to you, you might enjoy spending quality time with your gambling addiction opening boxes for ~3 EUR and if you are lucky you get a skin worth  ~2 EUR every billion boxes opened. 

Seriously, its not a bad game itself. But community and developers? Just for them Im praying for another '39 or that they have tourists in their office like CH Magazine had in Paris."
6,I shoot. enemy die. enemy shoot. I die.
7,"pp
"
8,"Legit best game ever to play with friends 
100%"
9,"I threw my pistol at the enemy, and preceded to miss every shot. 10/10"
10,THIS GAME SUCKS ITS SO BAD HOLY SHIT WORST GAME ON STEAM
11,cs go good
12,never learned russian this fast
13,uhhhhhh
14," Very good game, indians make the game better"
15,good
16, dont play this dogshit its too addicting
17,
18,:P
19,the best game
20,best
21,fun and ive spent too much money on it
22,fuck your game Go play valorant
23,"a classic, extra fun with friends"
24,i like this game but i hope clearly the cheater. thanks
25,"got called a racial slur 18 times, and bottom fragged, 10/10 experience so far."
26,"ALERT MUSICIAN ""MID AIR THIEF"" FOUND SHOPPING AT 7/11"
27,This game is just fun for people who love shooting games 100% recommend
28,Csgo: is an AWESOME 5v5 shooter!
29,good
30,"When you have a new account its just a pain in the bottom to play this game. Every game is a cheater and you are punished for that because you have ""low trust factor"" get your game together devs."
31,Good game
32,"idk, pretty average game"
33,"Look at the monkey
It's a monkey
Look at the monkey, at the monkey
Nausea, look at the monkey
Smile, look at the monkey
Doondi, look at the money, money, monkey, monkey
Got the money
Monkey, I got monkey
Snot, look at the monkey
Funny monkey, snot, look at the funny monkey
I said look at the monkey, look at the fucking monkey
Funny monkey, funny monkey, the funny monkey
Said, loot at the funny monkey, look at the funny monkey
I said look at the monkey, loot at the monkey, look at the monkey
Monkey, monkey-"
34,Valorant ripoff
35,csgosell.fun is the only enjoyable part of this game
36,easy
37,"its cold fam
"
38,"its a really fun game there are just a few hackers
"
39,niec
40,Best game ever
41,Perfect game.
42,n
43,I love CS:GO
44,you are fuck you
45,"Want to try Russian Simulator?
want to learn how to rush B suka blat?
Want to learn how to speak russian in 1 match at cs go?

that the game for you"
46,Old But Gold
47,"its csgo, why are you looking at the reviews?"
48,rush b
49,cancer do not download
50,"Violence may not be the answer, but this game absolutely is."
51,gud fps
52,One of the best gambling website I've ever used!
53,Why u mad bro?
54,This game will make you spend money you never intended to and make you want to off yourself. 10/10
55,poggers
56,Hackers can suck my d****
57,ok
58,MM is the best :)
59,lame
60,"get one tap dopamine go uppp 
you get one taped want to kms
ELON MUSK"
61,"Besides the degree of mental illness you need to play this, it's quite nice."
62,Fun but frustrated
63,dog shid game
64,Very good scream at yellow. Fuck you yellow.
65,pretty decent ahlie
66,"Pichahu reviewed this game

Recommended
443.1 hours played at review time
da eu am tras primu ...."
67,"This game is definitely doesn't worth to play in 2022. You'll probably find something interesting in here, except those guys who wants to be cyberathletes. You better try smth more interesting that this... Okay, if you really reading reviews about CS:GO it means that you are just looking for funny comments or YOU WANT THIS GAME TO BE YOUR ROUTINE, YOUR WORK. In that case I give you one advice: aim is the second important thing in that game. First is your understanding of everything that happens. What your enemy will do, how you can surprise them, what move will be the best in specific situations, etc. But it doesn't means that aim is nothing. It means a lot, but with understanding of the game it will be much easier to use your aim skills at full power. Good luck bro."
68,full of r3tards
69,good  game
70,Very Fun Game
71,Good Game
72,good game
73,top tier i like tm8's
74,Meh
75,i have became racist
76,"Half the time you have to play as terrorist, unless you just play against bots."
77,yes
78,Shitty game... I love it.
79,good
80,sfafadfsdfsd
81,yes
82,"Good game for head
"
83,proper good like
84,god game
85,very like when its good
86,"I started an account and found guys running around backwards aiming at the ground and head shooting me.  Also, getting shot in places there was no way they could have known I was there. Anyway, people admitted to cheating and said it was okay with steam and if you want games without cheaters you need a PRIME account, I paid for a prime account and now there are LESS cheaters but still SOOOO many that it's difficult to rank up. In fact, I feel like I have to win like 10-15 games to rank up but If I lose 2 games it will down rank me.  Everyone else says the same thing and they say steam is the only gaming platform where the lowest ranking players are many time as good or BETTER than the highest ranking players.  If you want to play CSGO and rank up without cheating> GOODLUCK!"
87,Very nice game
88,got banned for no reason at all
89,Good game
90,DA E BUN
